id,name,slug,department_code,insee_code,postal_code,lat,lng,pop
278,Germagnat,germagnat,01,01172,01250,46.3167,5.45,100
279,Coligny,coligny,01,01108,01270,46.3833,5.35,1200
280,Simandre-sur-Suran,simandre-sur-suran,01,01408,01250,46.2167,5.41667,700
281,L'Abergement-Clémenciat,abergement-clemenciat,01,01001,01400,46.15,4.91667,800
282,Lescheroux,lescheroux,01,01212,01560,46.4,5.15,700
283,Ornex,ornex,01,01281,01210,46.2833,6.1,3200
284,Dommartin,dommartin-01,01,01144,01380,46.3417,4.99167,800
285,Lompnas,lompnas,01,01219,01680,45.8,5.51667,200
286,Bettant,bettant,01,01041,01500,45.9333,5.36667,700
287,Armix,armix,01,01019,01510,45.85,5.58333,0
288,Feillens,feillens,01,01159,01570,46.3333,4.88333,3100
289,Chavornay,chavornay,01,01097,01510,45.8833,5.7,200
290,Challex,challex,01,01078,01630,46.1833,5.96667,1100
291,Vongnes,vongnes,01,01456,01350,45.8167,5.71667,100
292,Magnieu,magnieu,01,01227,01300,45.7833,5.71667,400
293,Groissiat,groissiat,01,01181,01810,46.2167,5.6,1100
294,Dompierre-sur-Chalaronne,dompierre-sur-chalaronne,01,01146,01400,46.1333,4.9,400
295,Montluel,montluel,01,01262,01120,45.85,5.05,6800
296,Le Poizat,poizat,01,01300,01130,46.15,5.7,400
297,Hostiaz,hostiaz,01,01186,01110,45.9,5.53333,100
298,Montanges,montanges,01,01257,01200,46.1667,5.8,300
299,Sainte-Julie,sainte-julie,01,01366,01150,45.8833,5.28333,800
300,Bey,bey-01,01,01042,01290,46.2167,4.85,200
301,Sonthonnax-la-Montagne,sonthonnax-la-montagne,01,01410,01580,46.2333,5.53333,300
302,Mézériat,mezeriat,01,01246,01660,46.2333,5.03333,2000
303,Bellignat,bellignat,01,01031,01810,46.25,5.61667,3500
304,Saint-Marcel,saint-marcel-01,01,01371,01390,45.9487,4.98723,1200
305,Belley,belley,01,01034,01300,45.7667,5.68333,8800
306,Corbonod,corbonod,01,01118,01420,45.95,5.81667,1200
307,Neyron,neyron,01,01275,01700,45.8148,4.93223,2300
308,Saint-Paul-de-Varax,saint-paul-de-varax,01,01383,01240,46.1,5.13333,1500
309,Pressiat,pressiat,01,01312,01370,46.3333,5.38333,200
310,Chazey-Bons,chazey-bons,01,01098,01300,45.8,5.68333,700
311,Servignat,servignat,01,01406,01560,46.4333,5.06667,200
312,Marlieux,marlieux,01,01235,01240,46.0667,5.06667,800
313,Andert-et-Condon,andert-et-condon,01,01009,01300,45.8,5.65,300
314,Hautecourt-Romanèche,hautecourt-romaneche,01,01184,01250,46.1583,5.41667,700
315,Crottet,crottet,01,01134,01620,46.2833,4.9,1700
316,Druillat,druillat,01,01151,01160,46.0667,5.31667,1100
317,Dompierre-sur-Veyle,dompierre-sur-veyle,01,01145,01240,46.0667,5.2,1200
318,Pérouges,perouges,01,01290,01800,45.9,5.18333,1200
319,Rignieux-le-Franc,rignieux-le-franc,01,01325,01800,45.9333,5.18333,900
320,Giron,giron,01,01174,01130,46.2333,5.76667,100
321,Cerdon,cerdon-01,01,01068,01450,46.0833,5.46667,800
322,Cruzilles-lès-Mépillat,cruzilles-les-mepillat,01,01136,01290,46.2167,4.88333,800
323,Lélex,lelex,01,01210,01410,46.3,5.95,200
324,Lhôpital,lhopital,01,01215,01420,46.0217,5.77834,100
325,Ségny,segny,01,01399,01170,46.3,6.08333,1600
326,Cheignieu-la-Balme,cheignieu-la-balme,01,01100,01510,45.8333,5.61667,200
327,Saint-Vulbas,saint-vulbas,01,01390,01150,45.8333,5.28333,900
328,Échallon,echallon,01,01152,01130,46.21,5.74139,800
329,Le Montellier,montellier,01,01260,01800,45.9333,5.06667,200
330,Martignat,martignat,01,01237,01810,46.2167,5.6,1600
331,Ceyzériat,ceyzeriat,01,01072,01250,46.1667,5.31667,2600
332,Montcet,montcet,01,01259,01310,46.2,5.11667,700
333,Vonnas,vonnas,01,01457,01540,46.2167,5.0,2700
334,Buellas,buellas,01,01065,01310,46.2,5.13333,1600
335,Saint-Bénigne,saint-benigne,01,01337,01190,46.4333,4.96667,1100
336,Chevillard,chevillard,01,01101,01430,46.1167,5.58333,200
337,Bouligneux,bouligneux,01,01052,01330,46.0167,5.0,300
338,Contrevoz,contrevoz,01,01116,01300,45.8,5.63333,500
339,Champdor,champdor,01,01080,01110,46.0167,5.6,500
340,Port,port-01,01,01307,01460,46.1667,5.56667,900
341,Surjoux,surjoux,01,01413,01420,46.0167,5.8,100
342,Champfromier,champfromier,01,01081,01410,46.2,5.81667,700
343,Vésines,vesines,01,01439,01570,46.35,4.86667,100
344,Seillonnaz,seillonnaz,01,01400,01470,45.8,5.48333,100
345,Varambon,varambon,01,01430,01160,46.0333,5.31667,500
346,Le Grand-Abergement,grand-abergement,01,01176,01260,46.0333,5.66667,100
347,Jassans-Riottier,jassans-riottier,01,01194,01480,45.9833,4.75,5900
348,Asnières-sur-Saône,asnieres-sur-saone,01,01023,01570,46.3833,4.88333,100
349,Condamine,condamine-01,01,01112,01430,46.1167,5.56667,400
350,Lhuis,lhuis,01,01216,01680,45.75,5.53333,800
351,Romans,romans-01,01,01328,01400,46.1167,5.03333,600
352,Pizay,pizay,01,01297,01120,45.8833,5.08333,800
353,Certines,certines,01,01069,01240,46.1333,5.26667,1500
354,Ruffieu,ruffieu,01,01330,01260,46.0,5.66667,200
355,Meximieux,meximieux,01,01244,01800,45.9,5.2,7300
356,Saint-Rambert-en-Bugey,saint-rambert-en-bugey,01,01384,01230,45.95,5.43333,2200
357,Ambronay,ambronay,01,01007,01500,46.0,5.35,2300
358,Cize,cize-01,01,01106,01250,46.2,5.43333,200
359,Saint-Germain-sur-Renon,saint-germain-sur-renon,01,01359,01240,46.0833,5.05,200
360,Villette-sur-Ain,villette-sur-ain,01,01449,01320,45.9884,5.26862,700
361,Dagneux,dagneux,01,01142,01120,45.85,5.06667,3900
362,Boissey,boissey-01,01,01050,01190,46.3833,5.0,200
363,Salavre,salavre,01,01391,01270,46.3667,5.35,300
364,Brion,brion-01,01,01063,01460,46.1728,5.55251,500
365,Labalme,labalme,01,01200,01450,46.1,5.48333,200
366,Sauverny,sauverny,01,01397,01220,46.3167,6.11667,1100
367,Montceaux,montceaux,01,01258,01090,46.1,4.8,1100
368,Brénod,brenod,01,01060,01110,46.0667,5.6,500
369,Misérieux,miserieux,01,01250,01600,45.9833,4.81667,1700
370,Prévessin-Moëns,prevessin-moens,01,01313,01280,46.25,6.08333,5300
371,Lent,lent-01,01,01211,01240,46.1167,5.2,1300
372,Marsonnas,marsonnas,01,01236,01340,46.3333,5.06667,900
373,Manziat,manziat,01,01231,01570,46.35,4.9,1900
374,Trévoux,trevoux-01,01,01427,01600,45.9333,4.76667,6800
375,Bellegarde-sur-Valserine,bellegarde-sur-valserine,01,01033,01200,46.1,5.81667,11400
376,Bourg-en-Bresse,bourg-en-bresse,01,01053,01000,46.2,5.21667,40200
377,Confort,confort,01,01114,01200,46.15,5.81667,500
